2025-04-30T09:07:24.273Z - Application is started 
2025-04-30T09:07:24.274Z - Application event occured 
2025-04-30T09:07:27.275Z - Current memory usage 19.602778136148274 
2025-04-30T09:07:30.282Z - Current memory usage 19.619091001040516 
2025-04-30T09:07:33.296Z - Current memory usage 19.600015279796864 
2025-04-30T09:07:36.296Z - Current memory usage 19.583125818796503 
2025-04-30T09:07:39.305Z - Current memory usage 19.666876403500996 
2025-04-30T09:07:42.318Z - Current memory usage 19.793751572125327 
2025-04-30T09:07:45.326Z - Current memory usage 19.407336080333295 
2025-04-30T09:07:48.342Z - Current memory usage 19.28118165684411 
2025-04-30T09:07:51.356Z - Current memory usage 19.665699186446915 
2025-04-30T09:07:54.362Z - Current memory usage 20.013650912859752 
2025-04-30T09:07:57.371Z - Current memory usage 20.053628243022768 
